company,total_laid_off,funds_raised
Polygon,100,451
Crunchyroll,85,26
Bolt,17,
Fireblocks,200,79
Kinde,30,1000
Fipola,8,10
Tencent,100,4200
Chipper Cash,300,12600
DocuSign,100,302
Pico Interactive,680,536
The RealReal,400,62
Smartsheet,230,356
Convoy,85,152
Neon,370,58
Jellysmack,221,1100
DigitalOcean,210,720
Sprinklr,208,22
Betterment,200,491
Divvy Homes,100,429
Milkrun,28,435
Vicarious Surgical,,1100
CommerceHub,,214
HackerEarth,,148
PhableCare,,185
Udemy,371,
Twilio,,11
Electric,,40
PetLove,,311
iRobot,1500,614
Collective Health,141,212
Magic Eden,94,225
Casavo,85,30
Foodpanda,54,719
Getir,22,170
LinkedIn,,708
Moladin,,749
TripleLift,,1800
TikTok India,,154
Open Co,360,138
Rigetti Computing,100,16
Yahoo,40,9400
Misfits Market,,140
Deliveroo,,298
Olive AI,1600,6
GitLab,649,526
Bark,350,1700
Nomad Health,215,856
Veriff,130,413
REE Automotive,126,
GitHub,119,218
Quillt,66,192
WeTrade,31,317
GoDaddy,,350
Affirm,,
Gusto,,
Gong,530,800
Beam Benefits,500,1500
Equitybee,126,746
Baraja,80,583
Koho,31,168
Medly,24,85
Nearmap,,63
Zoom,,278
eBay,,100
SecureWorks,,15
Salesloft,1300,276
Openpay,500,1200
LearnUpon,212,83
Sana Benefits,100,245
Dell,83,299
Loggi,27,56
Catch.com.au,,106
VinFast US,6650,
Drift,300,507
Pocket Aces,100,80
Clari,80,
C6 Bank,59,107
Daraz,50,19
TenureX,20,496
Kyruus,,2300
Lightico,,
FarEye,,6
Protocol Labs,70,183
Finder,20,42
Byju's,90,150
Okta,89,10
Autodesk,,30
Mindstrong,1500,5500
NCC Group,300,1200
Miro,250,
Getir,127,160
Highspot,125,
Bittrex,119,476
Snowplow,100,1800
Articulate,100,644
Desktop Metal,80,
Getaround,40,55
NCSoft,38,1500
Talkdesk,,811
Splunk,,948
Pinterest,,240
DraftKings,,497
Cyren,325,2400
Workato,150,1500
VerticalScope,140,719
Wheel,121,161
Chainalysis,90,415
Exterro,60,
TheSkimm,56,215
Ada,44,536
Bustle Digital Group,24,100
Frequency Therapeutics,17,28
MariaDB,,190
Match Group,,80
Omnipresent,,76
